hedgetargets,DeveloperProfits,ratio,,,,,
"[90.46641777421175, 130.328001598392, 93.35720878795179, 121.6757981534469, 75.17474917523724, 104.27568784105165, 89.36199984973761, 131.45854877252677, 90.21298391074761, 129.11073842201532, 97.25912573920648, 143.47983140228223, 97.09214023742842, 153.9898221620901, 103.30191490699663, 78.11621151355834, 136.4535243014036, 192.5490797394536, 99.1191101397264, 195.44523461980782, 121.39447658181551, 147.35262593213446, 100.04422548240753, 173.06369444047974]",-25028905.79,2.469238108,,,,,
"[90.46641777421175, 131.1954461091606, 93.67493518432518, 117.4154953627683, 82.08107286774049, 104.27568784105165, 86.86638166193036, 154.96009827293386, 78.36763511306404, 118.4293353500221, 97.03150368388715, 143.40912947469943, 97.09214023742842, 153.9898221620901, 101.9308508220863, 78.11621151355834, 136.4535243014036, 192.5490797394536, 99.1191101397264, 183.83347814194298, 121.43422464681038, 144.48180651325217, 100.04422548240753, 172.5727663835213]",-24733316.15,2.462989298,,,,,
"[90.4675770419794, 96.31632551926361, 62.54021884928629, 117.65322674724166, 82.2159395741998, 129.31805818890453, 81.1455092801668, 162.15002842357828, 77.18805736222495, 98.48145263891048, 97.03345341972549, 143.41128038137336, 108.6559586384951, 151.22363503574323, 107.4886586461039, 78.34952184324096, 123.96912145235179, 189.71484459682188, 86.71579171781354, 183.68776654633012, 120.14853916374132, 144.48667788434852, 107.42139071894832, 177.1596226733563]",-23961352.39,2.42553895,,,,,
"[90.35632476199034, 133.84275842448596, 93.43317500539727, 117.4154953627683, 77.00537356821529, 104.27568784105165, 87.37077735450728, 154.96009827293386, 78.36763511306404, 118.44520806631782, 96.9198558484115, 143.40912947469943, 97.09214023742842, 153.9898221620901, 101.9308508220863, 78.11621151355834, 136.4535243014036, 159.5509251643518, 99.1191101397264, 183.83347814194298, 121.45688641487111, 144.48180651325217, 100.04422548240753, 172.5727663835213]",-23530099.5,2.402253722,,,,,
"[90.57745287386406, 104.49000847842095, 93.37599948129588, 134.79471053797207, 74.86954640977646, 129.3695964237063, 75.89876813293841, 171.3031152609764, 80.40633058295214, 132.95447656277554, 96.34243757528829, 137.10740103834038, 112.14538621866001, 154.3355865299149, 127.60444381675981, 79.0008823582337, 136.6999149642723, 145.78630510645507, 89.90949321116165, 143.72359332329128, 119.38841971512075, 171.82715740506234, 144.10123273925547, 179.71062211034575]",-23338024.36,2.372501103,,,,,
"[90.35748402975798, 98.96363783458872, 62.298458670354925, 117.65322674724166, 77.1402402746746, 129.31805818890453, 81.64990497274373, 156.47905314550286, 77.18805736222495, 98.4973253552062, 96.92180558424982, 143.41128038137336, 108.6559586384951, 151.22363503574323, 107.4886586461039, 78.34952184324096, 123.96912145235179, 156.71669002176915, 86.71579171781354, 183.68776654633012, 120.17120093180203, 144.48667788434852, 107.42139071894832, 177.1596226733563]",-22633116.17,2.359886028,,,,,
"[90.46641777421175, 92.58707029204562, 94.87125540492562, 92.76681146841807, 82.08107286774049, 98.71893423187367, 73.75791948906455, 155.87274057318302, 90.14122731588269, 65.26510116060038, 97.09265521510946, 123.59127075285328, 97.09214023742842, 153.9898221620901, 101.27169283197875, 98.1301571624706, 106.45221589572007, 190.9341997646601, 96.31411430903466, 196.40670100733848, 121.39447658181551, 147.31747684328542, 100.04422548240753, 173.06369444047974]",-22440564.45,2.328123104,,,,,
"[90.35748402975798, 98.96363783458872, 62.298458670354925, 117.65322674724166, 77.1402402746746, 127.88640031272149, 72.88493559127079, 156.47905314550286, 72.74423545831557, 98.4973253552062, 96.92180558424982, 124.73323259751119, 97.00351035278801, 151.22363503574323, 107.4886586461039, 78.34952184324096, 123.96912145235179, 156.71669002176915, 86.71579171781354, 183.68776654633012, 120.17120093180203, 144.48667788434852, 107.42139071894832, 177.0440358673132]",-21961917.08,2.324332971,,,,,
"[90.35748402975798, 98.96363783458872, 62.298458670354925, 117.65322674724166, 74.65251690326599, 131.64699524894004, 81.64990497274373, 156.47905314550286, 77.18805736222495, 98.4973253552062, 96.92180558424982, 130.9349617116059, 108.6559586384951, 151.22363503574323, 107.4886586461039, 78.34952184324096, 123.96912145235179, 144.3857419765707, 36.111004587193655, 149.83202911115032, 120.17120093180203, 144.48667788434852, 107.42139071894832, 177.1596226733563]",-20407082.34,2.236773491,,,,,
"[102.994232732256, 104.40535446364994, 93.57550141481637, 119.30912843621361, 76.86934533793503, 128.907552821591, 81.72479293066486, 125.90714307849822, 72.29393860123727, 81.20029977264983, 85.65995984887059, 142.44104704426508, 109.60366991032221, 154.32626177481467, 107.4886586461039, 78.67015386288818, 145.29316446227915, 156.71669002176915, 88.36985643192943, 136.44740888732957, 120.27029947860777, 144.48667788434852, 143.77734300273033, 156.64513190788878]",-20018927.55,2.212008108,,,,,
