Month,Year,WFEC_MOORELAND_2,OKGECEDAVLD2,OKGE_SEILING,OKGESPIRITWIND,OKGECEDAR5LD2,OKGEKEENANWIND,OKGEWDWRDEHVUKEENAN,OKGEWDWRD1LD2,OKGEIODINE4LD2,WFECVICILD2,SPP Hub
2,2017,37.28,24.13768155,3.661192328,-1.94,3.580052232,-1.875225249,-1.317621429,-5.2607125,4.305516964,22.20778348,23.85453277
3,2017,67.58,29.82120888,-2.387997453,-10.3,-15.08565478,-10.22279932,-8.914660565,-15.46561938,8.051722073,37.54059139,27.42225612
4,2017,90.38,26.69218889,-10.88671086,-22.3,-32.02235153,-22.20811309,-21.87888472,-32.39993014,0.969413194,43.68715611,32.24705403
5,2017,65.15,27.49734812,3.484830536,-3.5,-10.92088683,-3.439245685,-3.569105242,-11.28365161,10.30978239,35.14817567,27.44983224
6,2017,24.42,25.88556444,17.21932107,17.36,18.64724,17.40053856,18.88893028,18.07672028,18.63370222,21.60072486,25.24374563
7,2017,29.36,32.90165578,23.36603808,21.59,23.52220161,21.6539927,24.10806398,22.7736004,23.42379543,25.16951519,29.62824369
8,2017,23.01,23.20950941,22.22280614,21.46,21.3535168,21.48160975,20.42098844,20.55540242,19.35418938,20.49280995,25.08820618
9,2017,15.71,28.1280275,15.24722344,14.13,14.75163264,14.1879258,14.46157472,13.94968458,7.914816528,11.23962806,26.60478345
10,2017,4.19,22.73138777,3.96235682,1.73,2.874290591,1.712189297,2.257209409,1.612465995,-4.664504839,-0.668970833,17.76106152
11,2017,21.5,26.39976685,10.84471665,9.52,11.47335534,9.556416087,9.003141748,7.538489043,5.422784189,14.39853315,23.37339538
12,2017,24.19,24.70304852,18.36615396,16.67,17.28874785,16.67120102,15.14924086,14.81651062,14.65194704,18.76220766,25.68427554
1,2018,24.35,41.12338938,19.07915042,18.16,18.74509274,18.23535644,17.29066156,17.08381371,13.99613132,18.40547339,27.0012165
2,2018,27.31,27.04987902,18.92820349,18.09,19.37770997,18.14798622,17.35007307,16.53241176,21.0007186,22.34003393,25.2625512
3,2018,15.09,19.98797227,14.90265657,14.68,15.36055464,14.74083813,14.87901009,15.04694482,14.86190363,15.22375545,15.6346544
4,2018,18.31,25.51368458,18.13042777,17.19,18.59110208,17.26031196,17.76530292,18.13682819,17.85063875,18.81557722,19.28075472
5,2018,22.19,30.91263737,21.2491231,20.78,23.60235524,20.85718238,22.62817661,22.81509422,22.59825712,23.59037204,22.69218186
6,2018,22.78,28.67827472,22.02297019,21.59,22.57954208,21.68418455,21.71746125,22.01942222,21.85133889,22.65755639,23.83691089
7,2018,27.72,26.95568522,27.03169258,27.02,28.220325,27.03988591,27.31417702,27.70626277,27.43982944,28.18861761,28.13838023
8,2018,21.59,24.65013844,20.51449451,20.44,22.33741142,20.48434952,21.21703468,21.41456694,21.41457702,22.23934328,22.23357859
9,2018,23.84,26.81957944,19.20968363,17.94,19.23539583,18.00691925,18.03102042,17.32512472,18.12891014,20.82410139,22.84404269
10,2018,30.28,32.84563898,27.6616506,27.96,28.2230328,28.03245807,27.20985685,27.54629086,28.16724691,29.07559933,33.49165476
11,2018,29.55,41.81626089,23.39401202,23.73,30.06005687,23.80872075,27.8351208,27.84901623,32.16069112,32.84200125,32.1091992
12,2018,23.01,34.54012836,18.92158366,19.67,21.5706172,19.7448686,20.1515668,20.57042258,21.65489059,22.90116586,26.9757502
1,2019,19.78,26.98266926,17.57153041,18.29,19.28721863,18.35566996,18.27915406,18.74645523,18.58181339,19.7546796,23.76516617
2,2019,18.3,23.1512122,15.0268928,15.85,16.29225595,15.89823442,15.07737188,15.60616443,16.06097619,17.24189345,22.06495261
3,2019,18.56,28.87972194,16.33988214,16.76,16.76094953,16.74554124,15.74103472,16.08926662,16.55145007,17.77653849,21.44038014
4,2019,17.75,25.92525222,17.63638786,16.66,16.26276181,16.66406017,15.98200083,15.89063931,16.22604583,16.47147986,20.7296327
5,2019,21.24,32.61995632,21.74575043,20.33,20.73766707,20.17814608,20.24521962,20.23198642,21.04173065,21.21063656,23.92091034
6,2019,19.6,31.50819306,20.23302815,19.63,19.97511972,19.6695584,19.65734431,19.78694806,19.6945725,19.77118958,22.01021885
7,2019,21.87,24.40743241,20.3491279,20.86,21.76740879,20.90675291,20.90675291,21.32828994,21.46517425,22.28739181,25.93322163
8,2019,22.29,23.6955456,21.13673645,21.37,22.37938111,21.4072117,21.4072117,21.70970988,21.78772934,22.71760872,24.14850095
9,2019,14.34,25.18904632,15.86134114,15.06,15.01655931,15.14218216,15.14218216,14.98710197,15.17729584,14.43796545,21.04528665
10,2019,10.84,29.33764439,10.68287624,10.58,10.93884225,10.63833343,10.62858112,10.74936374,10.59949547,10.91626464,14.44406742
11,2019,16.74,38.11866097,17.08587371,16.72,17.06766962,16.76386047,16.76386047,16.88051769,16.97762307,16.99782506,21.8694998
12,2019,14.32,25.67346122,13.62171587,13.62,14.23635939,13.6673696,13.66739341,13.91642161,13.9059112,14.55345393,16.5251953
